Date,UKnewCases,USnewCases,S&P500,Nasdaq 100,Dow Jones,FTSE100
18/02/2020,0,0,3074.620117,8210.179688,27492.63086,7396.700195
19/02/2020,0,0,3076.780029,8196.030273,27492.56055,7406.399902
20/02/2020,0,0,3085.179932,8219.650391,27674.80078,7359.399902
21/02/2020,0,0,3093.080078,8255.889648,27681.24023,7328.5
22/02/2020,0,0,3087.01001,8241.910156,27691.49023,7365.399902
23/02/2020,0,0,3091.840088,8263.790039,27691.49023,7351.200195
24/02/2020,4,0,3094.040039,8259.80957,27783.58984,7292.799805
25/02/2020,0,0,3096.629883,8257.830078,27781.96094,7302.899902
26/02/2020,0,0,3120.459961,8315.519531,28004.89063,7307.700195
27/02/2020,0,0,3122.030029,8328.480469,28036.2207,7323.799805
28/02/2020,6,0,3120.179932,8338.740234,27934.01953,7262.5
29/02/2020,4,18,3108.459961,8283.75,27821.08984,7238.600098
01/03/2020,12,32,3103.540039,8265.620117,27766.28906,7326.799805
02/03/2020,5,44,3110.290039,8272.049805,27875.61914,7396.299805
03/03/2020,11,48,3133.639893,8371.929688,28066.4707,7403.100098
04/03/2020,34,139,3140.52002,8385.75,28121.67969,7429.799805
05/03/2020,29,107,3153.629883,8444.709961,28164,7416.399902
06/03/2020,46,112,3140.97998,8403.679688,28051.41016,7346.5
07/03/2020,46,178,3113.870117,8309.259766,27783.03906,7285.899902
08/03/2020,65,198,3093.199951,8254.740234,27502.81055,7158.799805
09/03/2020,50,292,3112.76001,8296.530273,27649.7793,7188.5
10/03/2020,52,387,3117.429932,8308.400391,27677.78906,7137.899902
11/03/2020,83,509,3145.909912,8397.370117,28015.06055,7239.700195
12/03/2020,134,671,3135.959961,8362.740234,27909.59961,7233.899902
13/03/2020,207,1072,3132.52002,8354.290039,27881.7207,7213.799805
14/03/2020,264,924,3141.629883,8402.610352,27911.30078,7216.299805
15/03/2020,330,1291,3168.570068,8466.889648,28132.05078,7273.5
16/03/2020,152,1748,3168.800049,8487.709961,28135.38086,7353.399902
17/03/2020,407,2588,3191.449951,8570.330078,28235.89063,7519.100098
18/03/2020,676,3089,3192.52002,8575.700195,28267.16016,7525.299805
19/03/2020,643,4651,3191.139893,8580.620117,28239.2793,7540.799805
20/03/2020,714,6147,3205.370117,8641.290039,28376.96094,7573.799805
21/03/2020,1035,6793,3221.219971,8678.490234,28455.08984,7582.5
22/03/2020,665,9125,3224.01001,8696.009766,28551.5293,7623.600098
23/03/2020,967,11439,3223.379883,8699.509766,28515.44922,7632.200195
24/03/2020,1427,10769,3239.909912,8778.30957,28621.39063,7644.899902
25/03/2020,1452,12908,3240.02002,8770.980469,28645.25977,7587.100098
26/03/2020,2129,17720,3221.290039,8709.730469,28462.14063,7542.399902
27/03/2020,2890,19128,3230.780029,8733.070313,28538.43945,7604.299805
28/03/2020,2556,19692,3257.850098,8872.219727,28868.80078,7622.399902
29/03/2020,2502,19581,3234.850098,8793.900391,28634.88086,7575.299805
30/03/2020,2665,22042,3246.280029,8848.519531,28703.38086,7573.899902
31/03/2020,3250,24853,3237.179932,8846.450195,28583.67969,7574.899902
01/04/2020,4567,25791,3253.050049,8912.370117,28745.08984,7598.100098
02/04/2020,4522,28060,3274.699951,8989.629883,28956.90039,7587.899902
03/04/2020,4672,32076,3265.350098,8966.639648,28823.76953,7617.600098
04/04/2020,4000,33212,3288.129883,9070.650391,28907.05078,7622.399902
05/04/2020,6199,25500,3283.149902,9033.419922,28939.66992,7642.799805
06/04/2020,4143,29002,3289.290039,9035.669922,29030.2207,7609.799805
07/04/2020,3888,30885,3316.810059,9125,29297.64063,7674.600098
08/04/2020,5865,30677,3329.620117,9173.730469,29348.09961,7651.399902
09/04/2020,4675,34503,3320.790039,9166.629883,29196.03906,7610.700195
10/04/2020,5706,34380,3321.75,9188.580078,29186.26953,7571.899902
11/04/2020,5234,30501,3325.540039,9216.980469,29160.08984,7507.700195
12/04/2020,5288,27784,3295.469971,9141.469727,28989.73047,7586
13/04/2020,4342,25195,3243.629883,8952.179688,28535.80078,7412.100098
14/04/2020,5252,25719,3276.23999,9090.929688,28722.84961,7480.700195
15/04/2020,4605,30307,3273.399902,9101.610352,28734.44922,7483.600098
16/04/2020,4618,30978,3283.659912,9136.089844,28859.43945,7382
17/04/2020,5599,32024,3225.52002,8991.509766,28256.0293,7286
18/04/2020,5526,27907,3248.919922,9126.230469,28399.81055,7326.299805
19/04/2020,5850,27387,3297.590088,9334.05957,28807.63086,7439.799805
20/04/2020,4676,25897,3334.689941,9367.480469,29290.84961,7482.5
21/04/2020,4301,26367,3345.780029,9445.919922,29379.76953,7504.799805
22/04/2020,4451,28959,3327.709961,9401.099609,29102.50977,7466.700195
23/04/2020,4583,31812,3352.090088,9516.839844,29276.82031,7446.899902
24/04/2020,5386,34231,3357.75,9517.860352,29276.33984,7499.399902
25/04/2020,4913,35889,3379.449951,9613.200195,29551.41992,7534.399902
26/04/2020,4463,27310,3373.939941,9595.700195,29423.31055,7452
27/04/2020,4310,22708,3380.159912,9623.580078,29398.08008,7409.100098
28/04/2020,3996,25280,3370.290039,9629.799805,29232.18945,7433.299805
29/04/2020,4076,26168,3386.149902,9718.730469,29348.0293,7382
30/04/2020,6032,29975,3373.22998,9627.830078,29219.98047,7457
01/05/2020,6201,33021,3337.75,9446.69043,28992.41016,7436.600098
02/05/2020,4806,29154,3225.889893,9079.629883,27960.80078,7403.899902
03/05/2020,4339,25701,3128.209961,8834.870117,27081.35938,7156.799805
04/05/2020,3985,22649,3116.389893,8873.759766,26957.58984,7017.899902
05/05/2020,4406,22444,2978.76001,8436.669922,25766.64063,7042.5
06/05/2020,6111,25115,2954.219971,8461.830078,25409.35938,6796.399902
07/05/2020,5614,27537,3090.22998,8877.980469,26703.32031,6580.600098
08/05/2020,4649,27222,3003.370117,8594.490234,25917.41016,6654.899902
09/05/2020,3896,25218,3130.120117,8949.280273,27090.85938,6718.200195
10/05/2020,3923,21055,3023.939941,8671.660156,26121.2793,6815.600098
11/05/2020,3877,18377,2972.370117,8530.339844,25864.7793,6705.399902
12/05/2020,3403,22890,2746.560059,7948.029785,23851.01953,6462.600098
13/05/2020,3242,21285,2882.22998,8372.269531,25018.16016,5965.799805
14/05/2020,3446,26785,2741.379883,8006.120117,23553.2207,5960.200195
15/05/2020,3560,24685,2480.639893,7263.649902,21200.61914,5876.5
16/05/2020,3451,24702,2711.02002,7995.259766,23185.61914,5237.5
17/05/2020,3562,20009,2386.129883,7020.379883,20188.51953,5366.100098
18/05/2020,2684,21028,2529.189941,7473.950195,21237.38086,5151.100098
19/05/2020,2412,20897,2398.100098,7175.180176,19898.91992,5294.899902
20/05/2020,2472,21308,2409.389893,7288.52002,20087.18945,5080.600098
21/05/2020,2615,26688,2304.919922,6994.290039,19173.98047,5151.600098
22/05/2020,3287,24433,2237.399902,7006.919922,18591.92969,5190.799805
23/05/2020,2959,21531,2447.330078,7553.830078,20704.91016,4993.899902
24/05/2020,2409,20072,2475.560059,7469.620117,21200.55078,5446
25/05/2020,1625,18671,2630.070068,7897.129883,22552.16992,5688.200195
26/05/2020,2004,16825,2541.469971,7588.370117,21636.7793,5815.700195
27/05/2020,2013,19447,2626.649902,7889.009766,22327.48047,5510.299805
28/05/2020,1887,22622,2584.590088,7813.5,21917.16016,5563.700195
29/05/2020,2095,23572,2470.5,7486.290039,20943.50977,5672
30/05/2020,2445,23682,2526.899902,7635.660156,21413.43945,5454.600098
31/05/2020,1936,21558,2488.649902,7528.109863,21052.5293,5480.200195
01/06/2020,1570,20485,2663.679932,8081.660156,22679.99023,5415.5
02/06/2020,1613,20109,2659.409912,8049.310059,22653.85938,5582.399902
03/06/2020,1871,20390,2749.97998,8229.540039,23433.57031,5704.5
04/06/2020,1805,20886,2789.820068,8238.530273,23719.36914,5677.700195
05/06/2020,1650,23394,2761.629883,8332.740234,23390.76953,5842.700195
06/06/2020,1557,23064,2846.060059,8692.160156,23949.75977,5791.299805
07/06/2020,1326,18740,2783.360107,8591.959961,23504.34961,5597.700195
08/06/2020,1205,17209,2799.550049,8757.830078,23537.67969,5628.399902
09/06/2020,1387,17312,2874.560059,8832.410156,24242.49023,5787
10/06/2020,1003,20894,2823.159912,8726.509766,23650.43945,5812.799805
11/06/2020,1266,22153,2736.560059,8403,23018.88086,5641
12/06/2020,1541,23597,2799.310059,8664.639648,23475.82031,5770.600098
13/06/2020,1425,25376,2797.800049,8641.5,23515.25977,5826.600098
14/06/2020,1514,21399,2836.73999,8786.599609,23775.26953,5752.200195
15/06/2020,1056,18649,2878.47998,8837.660156,24133.7793,5846.799805
16/06/2020,1279,23478,2863.389893,8677.599609,24101.55078,5958.5
17/06/2020,1115,24001,2939.51001,8982.759766,24633.85938,6115.299805
18/06/2020,1218,27746,2912.429932,9000.509766,24345.7207,5901.200195
19/06/2020,1346,31471,2830.709961,8718.179688,23723.68945,5763.100098
20/06/2020,1295,32294,2842.73999,8834.110352,23749.75977,5753.799805
21/06/2020,1221,27928,2868.439941,8930.620117,23883.08984,5849.399902
22/06/2020,958,27281,2848.419922,8984.860352,23664.64063,5853.799805
23/06/2020,874,33447,2881.189941,9101.879883,23875.89063,5936
24/06/2020,653,39075,2929.800049,9220.349609,24331.32031,5939.700195
25/06/2020,1118,39637,2930.189941,9298.919922,24221.99023,5994.799805
26/06/2020,1006,44543,2870.120117,9112.450195,23764.7793,5904.100098
27/06/2020,890,43164,2820,9000.080078,23247.9707,5741.5
28/06/2020,901,41570,2852.5,9094.419922,23625.33984,5799.799805
29/06/2020,815,39813,2863.699951,9152.639648,23685.41992,6048.600098
30/06/2020,689,47864,2953.909912,9331.929688,24597.36914,6002.200195
01/07/2020,829,50981,2922.939941,9298.540039,24206.85938,6067.200195
02/07/2020,576,54085,2971.610107,9485.019531,24575.90039,6015.299805
03/07/2020,544,53948,2948.51001,9377.990234,24474.11914,5993.299805
04/07/2020,624,54338,2955.449951,9413.990234,24465.16016,6067.799805
05/07/2020,516,45612,2991.77002,9389.980469,24995.10938,6144.299805
06/07/2020,343,41959,3036.129883,9442.049805,25548.26953,6218.799805
07/07/2020,581,51687,3029.72998,9416.709961,25400.64063,6076.600098
08/07/2020,630,62672,3044.310059,9555.530273,25383.10938,6166.399902
09/07/2020,642,59157,3055.72998,9598.889648,25475.01953,6220.100098
10/07/2020,512,66846,3080.820068,9657.30957,25742.65039,6382.399902
11/07/2020,820,62895,3122.870117,9704.69043,26269.89063,6341.399902
12/07/2020,650,61312,3112.350098,9629.660156,26281.82031,6484.299805
13/07/2020,530,58133,3193.929932,9824.389648,27110.98047,6472.600098
14/07/2020,398,62687,3232.389893,9901.519531,27572.43945,6335.700195
15/07/2020,538,65797,3207.179932,9967.169922,27272.30078,6329.100098
16/07/2020,642,71036,3190.139893,10094.25977,26989.99023,6076.700195
